project,target,configuration,hash,code,status,start,end
pt-cli,test,,2403611292021552954,1,failure,1773356584233,1773356584262
pt-cli,test,,2403611292021552954,0,success,1773356588503,1773356610929
pt-cli,test,,2403611292021552954,0,success,1773356618945,1773356635619
pt-cli,test,,17813087687086559342,1,failure,1773356700803,1773356704344
pt-cli,test,,377839719975879731,0,success,1773356746164,1773356776089
